title,Unnamed: 0,Desc,Unnamed: 0.1,author,genre,image_link,rating,bookID,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12
Can You Keep a Secret?,2165,"Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets: Secrets from her boyfriend: I've always thought Connor looks a bit like Ken. As in Barbie and Ken. Secrets from her mother: I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur. Secrets she wouldn't share with anyone in the world: I have no idea what NATO stands for. Or even what it is. Until she spills them all to a handsome stranger on a plane. At least, she thought he was a stranger.…Until Emma comes face-to-face with Jack Harper, the company's elusive CEO, a man who knows every single humiliating detail about her...",,Sophie Kinsella,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330464293l/33724.jpg,3.84,33724,Sophie Kinsella,3.84,440241901,9.78E+12,eng,374,333613,9326,12/27/2005,Dell Publishing Company,
Candide,1509,"Candide is the story of a gentle man who, though pummeled and slapped in every direction by fate, clings desperately to the belief that he lives in ""the best of all possible worlds."" On the surface a witty, bantering tale, this eighteenth-century classic is actually a savage, satiric thrust at the philosophical optimism that proclaims that all disaster and human suffering is part of a benevolent cosmic plan. Fast, funny, often outrageous, the French philosopher's immortal narrative takes Candide around the world to discover that -- contrary to the teachings of his distinguished tutor Dr. Pangloss -- all is not always for the best. Alive with wit, brilliance, and graceful storytelling, Candide has become Voltaire's most celebrated work.",,Voltaire,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345060082l/19380.jpg,3.77,19381,Voltaire/Robert M. Adams,3.77,393960587,9.78E+12,fre,224,695,55,3/19/1991,W. W. Norton and Company,
Cannery Row,1733,"Cannery Row is a book without much of a plot. Rather, it is an attempt to capture the feeling and people of a place, the cannery district of Monterey, California, which is populated by a mix of those down on their luck and those who choose for other reasons not to live ""up the hill"" in the more respectable area of town. The flow of the main plot is frequently interrupted by short vignettes that introduce us to various denizens of the Row, most of whom are not directly connected with the central story. These vignettes are often characterized by direct or indirect reference to extreme violence: suicides, corpses, and the cruelty of the natural world.The ""story"" of Cannery Row follows the adventures of Mack and the boys, a group of unemployed yet resourceful men who inhabit a converted fish-meal shack on the edge of a vacant lot down on the Row.Sweet Thursday is the sequel to Cannery Row.",,John Steinbeck,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388188936l/4799.jpg,4.04,4799,John Steinbeck,4.04,014200068X,9.78E+12,eng,181,96408,3909,02-05-2002,Penguin Books,
Carrie,1543,"A modern classic, Carrie introduced a distinctive new voice in American fiction -- Stephen King. The story of misunderstood high school girl Carrie White, her extraordinary telekinetic powers, and her violent rampage of revenge, remains one of the most barrier-breaking and shocking novels of all time.Make a date with terror and live the nightmare that is...Carrie--back cover",,Stephen King,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166254258l/10592._SY475_.jpg,3.96,10622,Stephen King,3.96,671039725,9.78E+12,eng,253,2707,192,10-01-1999,Pocket Books,
Casino Royale,2027,"Introducing James Bond: charming, sophisticated, handsome, chillingly ruthless and licensed to kill. This, the first of Ian Fleming's tales of secret agent 007, finds Bond on a mission to neutralize a lethal, high-rolling Russian operative called simply ""le Chiffre"" -- by ruining him at the Baccarat table and forcing his Soviet spymasters to ""retire"" him. It seems that lady luck is taken with 007 -- le Chiffre has hit a losing streak. But some people just refuse to play by the rules, and Bond's attraction to a beautiful female agent leads him to disaster and an unexpected savior...",,Ian Fleming,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497801490l/3758.jpg,3.73,5821,Ian Fleming,3.73,141187581,9.78E+12,eng,181,371,43,06-03-2004,Penguin Books  Limited (UK),
Catch-22,1245,"The novel is set during World War II, from 1942 to 1944. It mainly follows the life of Captain John Yossarian, a U.S. Army Air Forces B-25 bombardier. Most of the events in the book occur while the fictional 256th Squadron is based on the island of Pianosa, in the Mediterranean Sea, west of Italy. The novel looks into the experiences of Yossarian and the other airmen in the camp, who attempt to maintain their sanity while fulfilling their service requirements so that they may return home.",,Joseph Heller,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,3.98,4610,Joseph Heller,3.98,99477319,9.78E+12,eng,519,5517,452,10-06-1994,Vintage,
Charlotte's Web,1427,"This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams, the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.--harpercollins.com",,E.B. White,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243l/24178._SY475_.jpg,4.17,10826,E.B. White/Garth Williams,4.17,61228745,9.78E+12,eng,179,7,1,11-01-2006,HarperEntertainment,
Choke,1593,"Victor Mancini, a medical-school dropout, is an antihero for our deranged times. Needing to pay elder care for his mother, Victor has devised an ingenious scam: he pretends to choke on pieces of food while dining in upscale restaurants. He then allows himself to be “saved” by fellow patrons who, feeling responsible for Victor’s life, go on to send checks to support him. When he’s not pulling this stunt, Victor cruises sexual addiction recovery workshops for action, visits his addled mom, and spends his days working at a colonial theme park. His creator, Chuck Palahniuk, is the visionary we need and the satirist we deserve.",,Chuck Palahniuk,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403186013l/29059.jpg,3.7,5776,Stuart Woods,3.84,61094226,9.78E+12,eng,352,2288,96,09-12-1996,HarperTorch,
Christine,2144,"Master storyteller Stephen King presents the classic #1 national bestseller of the ultimate vehicle of terror!“This is the story of a lover’s triangle…It was bad from the start. And it got worse in a hurry.” It’s love at first sight for high school student Arnie Cunningham when he and his best friend Dennis Guilder spot the dilapidated 1958 red-and-white Plymouth Fury for sale—dubbed “Christine” by its original cantankerous owner—rusting away on a front lawn of their suburban Pennsylvania neighborhood. Dennis knows that Arnie’s never had much luck in the looks or popularity department, or really taken an interest in owning a car . . . but Christine quickly changes all that. Arnie suddenly has the newfound confidence to stick up for himself, going as far as dating the most beautiful girl at Libertyville High—transfer student Leigh Cabot—even as a mysteriously restored Christine systematically and terrifyingly consumes every aspect of Arnie’s life. Dennis and Leigh soon realize that they must uncover the awful truth behind a car with a horrifying and murderous history. Hell hath no fury like a woman scorned, and heaven help anyone who gets in Christine’s way…",,Stephen King,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513766289l/10629._SY475_.jpg,3.77,10629,Stephen King/Marie Milpois,3.77,2253147699,9.78E+12,fre,411,178403,2088,6/13/2001,LGF,
Chronicle of a Death Foretold,1968,"A man returns to the town where a baffling murder took place twenty-seven years earlier, determined to get to the bottom of the story. Just hours after marrying the beautiful Angela Vicario, everyone agrees, Bayardo San Roman returned his bride in disgrace to her parents. Her distraught family forced her to name her first lover; and her twin brothers announced their intention to murder Santiago Nasar for dishonoring their sister.Yet if everyone knew the murder was going to happen, why did no one intervene to try and stop it? The more that is learned, the less is understood, and as the story races to its inexplicable conclusion, an entire society--not just a pair of murderers—is put on trial.",,Gabriel García Márquez,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553959324l/23878._SY475_.jpg,3.97,23878,Gabriel García Márquez/Gregory Rabassa,3.97,140003471X,9.78E+12,eng,120,69912,2789,10-07-2003,Vintage,
Cloud Atlas,1387,"A postmodern visionary who is also a master of styles of genres, David Mitchell combines flat-out adventure, a Nabokovian lore of puzzles, a keen eye for character, and a taste for mind-bending philosophical and scientific speculation in the tradition of Umberto Eco, Haruki Murakami, and Philip K. Dick. The result is brilliantly original fiction as profund as it is playful. Now in his new novel, David Mitchell explores with daring artistry fundamental questions of reality and identity.Cloud Atlas begins in 1850 with Adam Ewing, an American notary voyaging from the Chatham Isles to his home in California. Along the way, Ewing is befriended by a physician, Dr. Goose, who begins to treat him for a rare species of brain parasite. . . .Abruptly, the action jumps to Belgium in 1931, where Robert Frobisher, a disinherited bisexual composer, contrives his way into the household of an infirm maestro who has a beguiling wife and a nubile daughter. . . . From there we jump to the West Coast in the 1970s and a troubled reporter named Luisa Rey, who stumbles upon a web of corporate greed and murder that threatens to claim her life. . . . And onward, with dazzling virtuosity, to an inglorious present-day England; to a Korean superstate of the near future where neocapitalism has run amok; and, finally, to a postapocalyptic Iron Age Hawaii in the last days of history.But the story doesn’t end even there. The narrative then boomerangs back through centuries and space, returning by the same route, in reverse, to its starting point. Along the way, Mitchell reveals how his disparate characters connect, how their fates intertwine, and how their souls drift across time like clouds across the sky.As wild as a videogame, as mysterious as a Zen koan, Cloud Atlas is an unforgettable tour de force that, like its incomparable author, has transcended its cult classic status to become a worldwide phenomenon.",,David Mitchell,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563042852l/49628._SX318_.jpg,4.02,6794,David Mitchell,4.02,340822783,9.78E+12,eng,529,6985,957,2/21/2005,Sceptre,
Cold Mountain,1677,"Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time.",,Charles Frazier,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442416348l/10920._SY475_.jpg,3.86,10920,Charles Frazier,3.86,802142842,9.78E+12,eng,356,208001,4972,09-01-2006,Grove Press,
Congo,1826,"Deep in the African rain forest, near the legendary ruins of the Lost City of Zinj, an expedition of eight American geologists is mysteriously and brutally killed in a matter of minutes.Ten thousand miles away, Karen Ross, the Congo Project Supervisor, watches a gruesome video transmission of the aftermath: a camp destroyed, tents crushed and torn, equipment scattered in the mud alongside dead bodies — all motionless except for one moving image — a grainy, dark, man-shaped blur.In San Francisco, primatologist Peter Elliot works with Amy, a gorilla with an extraordinary vocabulary of 620 “signs,” the most ever learned by a primate, and she likes to fingerpaint. But recently, her behavior has been erratic and her drawings match, with stunning accuracy, the brittle pages of a Portuguese print dating back to 1642 . . . a drawing of an ancient lost city. A new expedition — along with Amy — is sent into the Congo where they enter a secret world, and the only way out may be through a horrifying death …source: michaelcrichton.com",,Michael Crichton,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388889401l/7672.jpg,3.59,7672,Michael Crichton,3.59,60541830,9.78E+12,eng,442,144636,1546,10/28/2003,Avon Books,
Conspiracy of Fools,970,"“Pfeffer [blends] academic rigor and practical genius into wonderfully readable text. The leading thinker on the topic of power, Pfeffer here distills his wisdom into an indispensable guide.” —Jim Collins, author of New York Times bestselling author Good to Great and How the Mighty FallSome people have it, and others don’t. Jeffrey Pfeffer explores why, in Power.One of the greatest minds in management theory and author or co-author of thirteen books, including the seminal business-school text Managing With Power, Jeffrey Pfeffer shows readers how to succeed and wield power in the real world.",971,Kurt Eichenwald,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187674l/29519.jpg,4.23,29519,Kurt Eichenwald,4.23,767911792,9.78E+12,eng,784,4511,309,12/27/2005,Broadway Books,
Coraline,1516,"The day after they moved in, Coraline went exploring....In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. Only it's different. At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to change her and never let her go. Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself. Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.",,Neil Gaiman,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493497435l/17061._SY475_.jpg,4.06,17061,Neil Gaiman/Dave McKean,4.06,61139378,9.78E+12,eng,162,403622,13096,8/29/2006,William Morrow Paperbacks,
Corelli's Mandolin,2299,"Captain Corelli’s Mandolin is set in the early days of the second world war, before Benito Mussolini invaded Greece. Dr Iannis practices medicine on the island of Cephalonia, accompanied by his daughter, Pelagia, to whom he imparts much of his healing art. Even when the Italians do invade, life isn’t so bad—at first anyway. The officer in command of the Italian garrison is the cultured Captain Antonio Corelli, who responds to a Nazi greeting of “Heil Hitler” with his own “Heil Puccini”, and whose most precious possession is his mandolin. It isn't long before Corelli and Pelagia are involved in a heated affair--despite her engagement to a young fisherman, Mandras, who has gone off to join Greek partisans. Love is complicated enough in wartime, even when the lovers are on the same side. And for Corelli and Pelagia, it becomes increasingly difficult to negotiate the minefield of allegiances, both personal and political, as all around them atrocities mount, former friends become enemies and the ugliness of war infects everyone it touches. British author Louis de Bernières is well known for his forays into magical realism in such novels as The War of Don Emmanuel's Nether Parts, Señor Vivo and the Coca Lord and The Troublesome Offspring of Cardinal Guzman. Here he keeps it to a minimum, though certainly the secondary characters with whom he populates his island—the drunken priest, the strongman, the fisherman who swims with dolphins—would be at home in any of his wildly imaginative Latin American fictions. Instead, de Bernières seems interested in dissecting the nature of history as he tells his ever-darkening tale from many different perspectives. Captain Corelli’s Mandolin works on many levels, as a love story, a war story and a deconstruction of just what determines the facts that make it into the history books.",,Louis de Bernières,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479680795l/3388._SY475_.jpg,3.98,3388,Louis de Bernières,3.98,067976397X,9.78E+12,eng,437,62954,1791,8/29/1995,Vintage,
Cradle to Cradle: Remaking the Way We Make Things,500,"Martha Stewart is an undeniable force in the business world. One of the world's greatest entrepreneurs, she turned her personal passion into Martha Stewart Living Omnimedia, a billion dollar business. This Fall she's breaking new ground with two television shows from NBC―her reality show The Apprentice: Martha Stewart and her daytime syndicated show Martha―as well as a radio program on Sirius satellite radio which will provide daily round-the-clock how-to content. What's her secret for success?Now, for the first time, Martha Stewart shares her business knowledge and advice in this handbook for success. Tapping into her years of experience in building a thriving business, Martha will help readers identify their own entrepreneurial voice and channel their skills and passions into a successful business venture. Her advice and insight is applicable to anyone who is about to start or expand a venture of any size, whether it is a business or philanthropic endeavor, but also to individuals who want to apply the entrepreneurial spirit to a job or corporation to increase innovation and maintain a competitive edge.Featuring Martha's top principles for success, as well as stories and anecdotes from her own experiences, Martha's Rules is sure to appeal to business readers, fans, and anyone who admires her for her style, taste, and great advice―and who have great business ideas of their own!",500,William McDonough,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417605547l/5571.jpg,4.11,5571,William McDonough/Michael Braungart,4.11,865475873,9.78E+12,eng,193,9017,820,4/22/2002,North Point Press,
Crime and Punishment,1312,"Raskolnikov, a destitute and desperate former student, wanders through the slums of St Petersburg and commits a random murder without remorse or regret. He imagines himself to be a great man, a Napoleon: acting for a higher purpose beyond conventional moral law. But as he embarks on a dangerous game of cat and mouse with a suspicious police investigator, Raskolnikov is pursued by the growing voice of his conscience and finds the noose of his own guilt tightening around his neck. Only Sonya, a downtrodden prostitute, can offer the chance of redemption.",,Fyodor Dostoyevsky,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449l/7144.jpg,4.21,7138,Fyodor Dostoyevsky/Leonard Stanton/James D. Hardy Jr./Sidney Monas/Robin Feuer Miller,4.21,451530063,9.78E+12,en-US,560,2041,183,03-07-2006,Signet,
Crossing to Safety,2260,"﻿Called a ""magnificently crafted story . . . brimming with wisdom"" by Howard Frank Mosher in The Washington Post Book World, Crossing to Safety has, since its publication in 1987, established itself as one of the greatest and most cherished American novels of the twentieth century. Tracing the lives, loves, and aspirations of two couples who move between Vermont and Wisconsin, it is a work of quiet majesty, deep compassion, and powerful insight into the alchemy of friendship and marriage.",,Wallace Stegner,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436043179l/9820._SY475_.jpg,4.16,9820,Wallace Stegner/Terry Tempest Williams/T.H. Watkins,4.16,037575931X,9.78E+12,eng,368,31394,4262,04-09-2002,Modern Library,
Crucial Conversations: Tools for Talking When Stakes Are High,598,"Learn how to keep your cool and get the results you want when emotions flare.When stakes are high, opinions vary, and emotions run strong, you have three choices: Avoid a crucial conversation and suffer the consequences; handle the conversation badly and suffer the consequences; or read Crucial Conversations and discover how to communicate best when it matters most. Crucial Conversations gives you the tools you need to step up to life's most difficult and important conversations, say what's on your mind, and achieve the positive resolutions you want. You'll learn how to: Prepare for high-impact situations with a six-minute mastery technique Make it safe to talk about almost anything Be persuasive, not abrasive Keep listening when others blow up or clam up Turn crucial conversations into the action and results you want",599,Kerry Patterson,Business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497193248l/15014._SY475_.jpg,4.03,15014,Kerry Patterson/Joseph Grenny/Ron McMillan/Al Switzler/Stephen R. Covey,4.03,71401946,9.78E+12,eng,240,40400,2256,07-09-2002,McGraw-Hill Education,
Cryptonomicon,1710,"Cryptonomicon zooms all over the world, careening conspiratorially back and forth between two time periods--World War II and the present. Our 1940s heroes are the brilliant mathematician Lawrence Waterhouse, crypt analyst extraordinaire, and gung-ho, morphine-addicted marine Bobby Shaftoe. They're part of Detachment 2702, an Allied group trying to break Axis communication codes while simultaneously preventing the enemy from figuring out that their codes have been broken. Their job boils down to layer upon layer of deception. Dr. Alan Turing is also a member of 2702, and he explains the unit's strange workings to Waterhouse. ""When we want to sink a convoy, we send out an observation plane first... Of course, to observe is not its real duty--we already know exactly where the convoy is. Its real duty is to be observed... Then, when we come round and sink them, the Germans will not find it suspicious.""All of this secrecy resonates in the present-day story line, in which the grandchildren of the WWII heroes--inimitable programming geek Randy Waterhouse and the lovely and powerful Amy Shaftoe--team up to help create an offshore data haven in Southeast Asia and maybe uncover some gold once destined for Nazi coffers. To top off the paranoiac tone of the book, the mysterious Enoch Root, key member of Detachment 2702 and the Societas Eruditorum, pops up with an unbreakable encryption scheme left over from WWII to befuddle the 1990s protagonists with conspiratorial ties.",,Neal Stephenson,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327931476l/816.jpg,4.25,816,Neal Stephenson,4.25,60512806,9.78E+12,eng,1139,83184,4249,11-01-2002,Avon,
Cujo,2006,"Outside a peaceful town in central Maine, a monster is waiting. Cujo is a two-hundred-pound Saint Bernard, the best friend Brett Camber has ever had. One day Cujo chases a rabbit into a bolt-hole—a cave inhabited by sick bats. What happens to Cujo, how he becomes a horrifying vortex inexorably drawing in all the people around him makes for one of the most heart-stopping novels Stephen King has written.",,Stephen King,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394208144l/10603.jpg,3.71,10603,Stephen King,3.71,307348245,9.78E+12,spa,432,197993,2816,06-06-2006,Plaza y Janés,
Dance Dance Dance,2354,"Alternate cover edition here.High-class call girls billed to Mastercard. A psychic 13-year-old dropout with a passion for Talking Heads. A hunky matinee idol doomed to play dentists and teachers. A one-armed beach-combing poet, an uptight hotel clerk and one very bemused narrator caught in the web of advanced capitalist mayhem. Combine this offbeat cast of characters with Murakami's idiosyncratic prose and out comes Dance Dance Dance.",,Haruki Murakami,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514582521l/17800._SY475_.jpg,4.04,17800,Haruki Murakami,4.04,99448769,9.78E+12,eng,393,50169,2117,02-07-2002,Vintage,
Dandelion Wine,2080,"The summer of '28 was a vintage season for a growing boy. A summer of green apple trees, mowed lawns, and new sneakers. Of half-burnt firecrackers, of gathering dandelions, of Grandma's belly-busting dinner. It was a summer of sorrows and marvels and gold-fuzzed bees. A magical, timeless summer in the life of a twelve-year-old boy named Douglas Spaulding—remembered forever by the incomparable Ray Bradbury.Woven into the novel are the following short stories: Illumination, Dandelion Wine, Summer in the Air, Season of Sitting, The Happiness Machine, The Night, The Lawns of Summer, Season of Disbelief, The Last--the Very Last, The Green Machine, The Trolley, Statues, The Window, The Swan, The Whole Town's Sleeping, Goodbye Grandma, The Tarot Witch, Hotter Than Summer, Dinner at Dawn, The Magical Kitchen, Green Wine for Dreaming.",,Ray Bradbury,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1374049845l/50033.jpg,4.09,9623,Ray Bradbury,4.09,380977265,9.78E+12,en-US,267,676,119,02-01-1999,William Morrow,
Daughter of Fortune,2108,"Orphaned at birth, Eliza Sommers is raised in the British colony of Valparaíso, Chile, by the well-intentioned Victorian spinster Miss Rose and her more rigid brother Jeremy. Just as she meets and falls in love with the wildly inappropriate Joaquín Andieta, a lowly clerk who works for Jeremy, gold is discovered in the hills of northern California. By 1849, Chileans of every stripe have fallen prey to feverish dreams of wealth. Joaquín takes off for San Francisco to seek his fortune, and Eliza, pregnant with his child, decides to follow him.As we follow her spirited heroine on a perilous journey north in the hold of a ship to the rough-and-tumble world of San Francisco and northern California, we enter a world whose newly arrived inhabitants are driven mad by gold fever. A society of single men and prostitutes among whom Eliza moves--with the help of her good friend and savior, the Chinese doctor Tao Chien--California opens the door to a new life of freedom and independence for the young Chilean. Her search for the elusive Joaquín gradually turns into another kind of journey that transforms her over time, and what began as a search for love ends up as the conquest of personal freedom.",,Isabel Allende,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299666780l/16527.jpg,3.91,5207,Isabel Allende/Margaret Sayers Peden,3.91,006019491X,9.78E+12,eng,399,1005,95,10-06-1999,Harper,
David Copperfield,1607,"David Copperfield is the story of a young man's adventures on his journey from an unhappy and impoverished childhood to the discovery of his vocation as a successful novelist. Among the gloriously vivid cast of characters he encounters are his tyrannical stepfather, Mr Murdstone; his brilliant, but ultimately unworthy school-friend James Steerforth; his formidable aunt, Betsey Trotwood; the eternally humble, yet treacherous Uriah Heep; frivolous, enchanting Dora Spenlow; and the magnificently impecunious Wilkins Micawber, one of literature's great comic creations. In David Copperfield - the novel he described as his 'favourite child' - Dickens drew revealingly on his own experiences to create one of the most exuberant and enduringly popular works, filled with tragedy and comedy in equal measure. This edition uses the text of the first volume publication of 1850, and includes updated suggestions for further reading, original illustrations by 'Phiz', a revised chronology and expanded notes. In his new introduction, Jeremy Tambling discusses the novel's autobiographical elements, and its central themes of memory and identity.",,Charles Dickens,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461452762l/58696._SY475_.jpg,3.99,1985,Charles Dickens/Gish Jen,3.99,451530047,9.78E+12,eng,928,355,17,02-07-2006,Signet,
Dead Souls,2208,"Dead Souls is eloquent on some occasions, lyrical on others, and pious and reverent elsewhere. Nicolai Gogol was a master of the spoof. The American students of today are not the only readers who have been confused by him. Russian literary history records more divergent interpretations of Gogol than perhaps of any other classic.In a new translation of the comic classic of Russian literature, Chichikov, an enigmatic stranger and conniving schemer, buys deceased serfs' names from their landlords' poll tax lists hoping to mortgage them for profit and to reinvent himself as a likeable gentleman.",,Nikolai Gogol,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387201057l/28381.jpg,3.99,19108,Nikolai Gogol/Richard Pevear/Larissa Volokhonsky,3.99,1400043190,9.78E+12,eng,445,388,49,9/21/2004,Everyman's Library,
Dear John,2097,"An angry rebel, John dropped out of school and enlisted in the Army, not knowing what else to do with his life--until he meets the girl of his dreams, Savannah. Their mutual attraction quickly grows into the kind of love that leaves Savannah waiting for John to finish his tour of duty, and John wanting to settle down with the woman who has captured his heart. But 9/11 changes everything. John feels it is his duty to re-enlist. And sadly, the long separation finds Savannah falling in love with someone else. Dear John, the letter read... and with those two words, a heart was broken and two lives were changed forever. Returning home, John must come to grips with the fact that Savannah, now married, is still his true love—and face the hardest decision of his life.",,Nicholas Sparks,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397749854l/5526.jpg,4.03,5526,Nicholas Sparks,4.03,446528056,9.78E+12,eng,276,502726,9645,10/30/2006,Warner Books (NY),
Death of a Salesman,1837,"'For a salesman, there is no rock bottom to life. He don't put a bolt to a nut, he don't tell you the law or give you medicine. He's a man way out there in the blue, riding on a smile and a shoeshine.'Willy Loman has been a salesman for 34 years. At 60, he is cast aside, his usefulness now exhausted. With no future to dream about he must face the crushing disappointments of his past. He takes one final brave action, but is he heroic at last?, or a self-deluding fool?",,Arthur Miller,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554514105l/12898._SY475_.jpg,3.51,38752,Arthur  Miller,3.51,670261556,9.78E+12,eng,139,1223,104,5/18/1949,Viking Books,
Deception Point,1464,"A shocking scientific discovery. A conspiracy of staggering brilliance. A thriller unlike any you've ever read....When a NASA satellite discovers an astonishingly rare object buried deep in the Arctic ice, the floundering space agency proclaims a much-needed victory -- a victory with profound implications for NASA policy and the impending presidential election. To verify the authenticity of the find, the White House calls upon the skills of intelligence analyst Rachel Sexton. Accompanied by a team of experts, including the charismatic scholar Michael Tolland, Rachel travels to the Arctic and uncovers the unthinkable: evidence of scientific trickery -- a bold deception that threatens to plunge the world into controversy. But before she can warn the President, Rachel and Michael are ambushed by a deadly team of assassins. Fleeing for their lives across a desolate and lethal landscape, their only hope for survival is to discover who is behind this masterful plot. The truth, they will learn, is the most shocking deception of all.(back cover)",,Dan Brown,Non-Fiction,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551277487l/976._SY475_.jpg,3.71,975,Dan Brown,3.71,1416524800,9.78E+12,eng,736,4919,410,04-01-2006,Pocket Books,
